Zeitraum Start	Zeitraum Ende	OhdAb	Vorkommen	Normvarianten	Zunft	Gewerbe	Kommentare	Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20
1400	1700	#oberster zunftmeister	43	oberster zunftmeister	Zunftamt	Zunftamt																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661708	42	schindler	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694926	40	probst	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q662313	39	buchsetzer;buchstabensetzer;schriftsetzer;setzer	Safran	Papier	Safran nur Vermutung																				
1400	1700	https://database.factgrid.de/wiki/Item:Q659206	36	schleifer	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684777	36	gewürzkrämer;spezierer	Safran	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665410	35	kessler	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q650570	34	stattsoldner;söldner	Andere	Militär																					
1400	1700	https://database.factgrid.de/wiki/Item:Q696187	34	Lehrer beider Rechte;ansässiger universitätsprofessor;professor	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673050	34	bäcker;hausfeurer;mutschellenmacher	Brotbecken	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665186	34	sporer	Himmel	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671979	33	rotgerber	Gerber	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672271	32	schuster	Schuhmacher	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673654	31	sieder	Safran	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673383 https://database.factgrid.de/wiki/Item:Q685963 https://database.factgrid.de/wiki/Item:Q690016	30	meier	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665748	30	waffenschmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665774	29	schwertfeger	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q662114	28	papiermacher	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q659227	28	stampfer	Gartnern	?																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684734	28	fischkäufer;fischverkäufer	Fischern	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q693199	28	spitalmeister	Verwaltung	Verwaltung																					
1400	1700	#meister	28	meister																							
1400	1700	https://database.factgrid.de/wiki/Item:Q670326	28	leinenweber	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672327	26	nestler	Safran	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q664830	25	münzmeister	Hausgenossen	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673153	25	weissbeck	Brotbecken	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q688892	24	gerichtsschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q676893	23	kupferschmied	Schmieden	Metall																					
1400	1700	#werkmeister	23	werkmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q681419	22	torwart;torwächter	Gartnern	Sicherheit																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684490	22	eisenhändler;eisenkrämer	Safran	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q683547	22	stadtkäufer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q657331	21	berger;schäfer	Andere	Landwirtschaft																					
1400	1700	#lohnherr	21	lohnherr	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694943	21	domherr	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q650849	20	wachtmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670136	20	schürlezweber	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q650749	20	edelknecht	Andere	Militär																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694691	20	pfründner																							
1400	1700		19	buchführer	Safran	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q688461		buchverwalter;rechenmeister	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670306	19	harnischer	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q695208	18	schulherr;schulmeister	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q664523	18	dreher	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q683946	18	kaufherr	Schlüssel	Handel																					
1400	1700	#zunftmeister	18	zunftmeister	Zunftamt	Zunftamt																					
1400	1700	https://database.factgrid.de/wiki/Item:Q697238	18	magister der freien künste	Freie Berufe	Gelehrte																					
1400	1700	#armbruster	18	armbruster	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663649	18	gufenmacher;nadler	Safran	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q685728	18	weinschenk	Weinleuten	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661191	17	säger	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q679463	17	gerichtsbote	Verwaltung	Boten																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672282	17	schuhflicker	Schuhmacher	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694805	17	chorherr	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q681423	17	hüter;torhüter;wachtknecht;wächter	Gartnern	Sicherheit																					
1400	1700	#doktor	16	doktor	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q670876	16	färber	Weber	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q684069	16	seidenhändler;seidenkrämer	Safran	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687041	16	kornschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687127	16	spitalschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671995	16	lederbereiter	Safran	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673114	15	lebküchler	Safran	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673264	15	kuttler																							
1400	1700	https://database.factgrid.de/wiki/Item:Q690959	14	kämmerer																							
1400	1700	https://database.factgrid.de/wiki/Item:Q683918	14	zinsmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q698531	14	kartenmaler	Safran	Papier																					
1400	1700	https://database.factgrid.de/wiki/Item:Q691168	13	Obervogt;obervogt	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673183	13	pfister;pistor	Brotbecken	Nahrung																					
1400	1700	#hofmann	13	hofmann																							
1400	1700	https://database.factgrid.de/wiki/Item:Q670371	13	hosenlismer;hosenstricker	Safran	Textil																					
1400	1700	#birsmeister	12	birsmeister	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665971 https://database.factgrid.de/wiki/Item:Q665645	12	büchsenschmied	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q671489	12	barettmacher	Safran	Textil																					
1400	1700	https://database.factgrid.de/wiki/Item:Q682120	12	weinrufer	Weinleuten	Nahrung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q692348	12	arzt	Goldener Stern	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689451	12	stadtgerichts-beisitzer	Politisches Amt	Politisches Amt																					
1400	1700	#ringler	12	ringler	Safran	Metall																					
1400	1700	#weinmesser	12	weinmesser	Weinleuten	Handel																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672166	12	taschenmacher	Safran	Leder																					
1400	1700	#kummetsattler	11	kummetsattler	Himmel	Leder																					
1400	1700	https://database.factgrid.de/wiki/Item:Q690550	11	zoller	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q693435	11	totengräber	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q698401	11	bildhauer	Spinnwettern	Steine																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663882	11	rotgiesser	Safran	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q661679	11	fassbinder	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q692634	10	stadtarzt	Goldener Stern	Hygiene																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694463	10	diakon;erzdiakon	Freie Berufe	Geistliche																					
1400	1700	https://database.factgrid.de/wiki/Item:Q674827	10	schindeldecker	Spinnwettern	Holz																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689888	10	unterschreiber	Freie Berufe	Schreiber																					
1400	1700	https://database.factgrid.de/wiki/Item:Q663824	10	glockengiesser	Hausgenossen	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q672272	10	sohlenmacher																							
1400	1700	#strehlmacher	10	strehlmacher																							
1400	1700	https://database.factgrid.de/wiki/Item:Q694723	10	sigrist	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q665971	10	büchsenmeister	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687333	10	oberschreiber	Freie Berufe	Schreiber																					
1400	1700	#weidlingmacher	10	weidlingmacher																							
1400	1700	https://database.factgrid.de/wiki/Item:Q657334	10	hirte;viehhirte	Andere	Landwirtschaft																					
1400	1700	https://database.factgrid.de/wiki/Item:Q687512	10	Korrektor	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q694796	9	offizial	Verwaltung	Verwaltung																					
1400	1700	#plattharnischer	9	plattharnischer	Schmieden	Metall																					
1400	1700	https://database.factgrid.de/wiki/Item:Q660198	9	salzherr	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q689743	9	gerichtsknecht	Verwaltung	Verwaltung																					
1400	1700	https://database.factgrid.de/wiki/Item:Q691555	9	Ritter;ritter	Hohe Stube	Adel	Unvollständige Aufzählung, da meist als Titel markiert und daher rausgefiltert!																				
1400	1700	#junker	0	junker;Junker	Hohe Stube	Adel
1400	1700	https://database.factgrid.de/wiki/Item:Q661292	9	formenschneider																							
1400	1700	#locher	9	locher																							
1400	1700	https://database.factgrid.de/wiki/Item:Q694923	9	dekan	Freie Berufe	Gelehrte																					
1400	1700	https://database.factgrid.de/wiki/Item:Q673119	9	pastetenbäcker;pastetenmacher	Gartnern	Nahrung																					
